ID,Mass_ground_truth,RA,DEC,tau_lim_lo,tau_lim_hi,sig_lim_lo,sig_lim_hi,mu,u_band,g_band,r_band,i_band,z_band,z,M_i,ug,gr,ri,iz,zu,tau,sigma
125388,8.673603658,1.216108,-0.201036,1.49491,2.24996,-0.667726,-0.429923,19.2654,19.27578,19.18166,18.97736,19.10436,19.0855,1.0278,-24.711,0.09412,0.2043,-0.127,0.01886,-0.19028,1.73633,-0.495569
109511,9.024192138,1.22191,-0.591963,1.5243,2.73401,-0.625308,-0.236742,20.7774,20.78469811,20.45460377,20.39130189,20.09892453,20.06969811,1.5709,-24.651,0.33009434,0.06330188,0.29237736,0.02922642,-0.715,1.84363,-0.34215
69726,9.082146273,1.241286,0.426283,2.46253,4.36527,-0.776382,-0.515289,20.8335,20.82589796,20.52612245,20.41483673,20.0872449,20.11042857,1.7023,-24.861,0.29977551,0.11128572,0.32759183,-0.02318367,-0.71546939,2.62892,-0.598997
97938,8.659113313,1.244214,0.915992,1.94055,3.8451,-0.650922,-0.379026,20.5569,20.50573171,20.43360976,20.12690244,20.03880488,20.07246341,1.2084,-24.146,0.07212195,0.30670732,0.08809756,-0.03365853,-0.4332683,2.19832,-0.459499
81140,9.498275248,1.251764,-0.563412,2.32937,4.21102,-0.918907,-0.694698,19.0088,18.95583333,18.69775926,18.5777037,18.46381481,18.25744444,2.1733,-27.035,0.25807407,0.12005556,0.11388889,0.20637037,-0.69838889,2.49375,-0.754553
100520,9.756188264,1.25225,1.039129,2.08547,4.3831,-0.838315,-0.501533,18.8622,18.93968966,18.70837931,18.53006897,18.43248276,18.2427931,2.1189,-27.393,0.23131035,0.17831034,0.09758621,0.18968966,-0.69689656,2.38303,-0.614778
83436,9.071323418,1.253511,1.050947,2.0016,3.83553,-0.728068,-0.504058,19.6479,19.69878378,19.34556757,19.20641892,18.94972973,18.81798649,1.6292,-26.187,0.35321621,0.13914865,0.25668919,0.13174324,-0.88079729,2.22486,-0.56498
87638,8.711804388,1.272717,-0.036345,1.62538,3.8107,-0.896273,-0.408614,20.3296,20.31744444,20.14075926,20.05918519,19.68190741,19.59764815,1.8281,-25.408,0.17668518,0.08157407,0.37727778,0.08425926,-0.71979629,1.85019,-0.479014
58697,8.454996598,1.286916,0.435657,0.859537,2.15544,-0.419143,0.109611,20.6386,20.63969565,20.04769565,20.06513043,19.80213043,19.69747826,0.6686,-23.064,0.592,-0.01743478,0.263,0.10465217,-0.94221739,1.44762,-0.119402
9321,7.784718391,1.30049,0.220337,2.43292,4.38614,-0.978954,-0.685278,20.3121,20.40666667,20.36590196,20.02011765,19.8774902,19.85603922,1.2745,-24.707,0.04076471,0.34578431,0.14262745,0.02145098,-0.55062745,2.65411,-0.782402
30200,8.237191512,1.300784,0.134155,0.700641,2.09855,-0.494467,0.019931,20.6843,20.67471053,20.54528947,20.17668421,20.10465789,20.10134211,1.1208,-23.734,0.12942106,0.36860526,0.07202632,0.00331578,-0.57336842,1.50921,-0.257971
109828,7.881455218,1.337485,-0.330088,2.69266,4.55535,-0.82275,-0.565377,20.6337,20.63142222,20.53633333,20.24622222,20.28206667,20.232,1.0423,-23.684,0.09508889,0.29011111,-0.03584445,0.05006667,-0.39942222,2.88154,-0.653011
37675,8.696062691,1.354687,0.295906,0.759899,1.78192,-0.262264,0.20214,19.9854,20.01735417,19.84283333,19.67664583,19.72391667,19.59225,1.0285,-24.383,0.17452084,0.1661875,-0.04727084,0.13166667,-0.42510417,1.2666,-0.005391
1018,9.022211072,1.364696,-0.098956,2.32222,4.21751,-0.522501,-0.354452,19.8859,19.96940385,19.55496154,19.58613462,19.35386538,19.33984615,0.6125,-23.121,0.41444231,-0.03117308,0.23226924,0.01401923,-0.6295577,2.47534,-0.394771
38814,8.670849919,1.371388,-0.833785,1.66238,3.93168,-1.09761,-0.588066,20.465,20.463,20.27806667,20.21173333,20.0828,19.86708889,2.115,-25.615,0.18493333,0.06633334,0.12893333,0.21571111,-0.59591111,2.16504,-0.772099
41036,8.883995083,1.375595,-0.398947,2.57551,4.56225,-0.858154,-0.434475,20.8674,20.98765217,20.59143478,20.1366087,20.05121739,19.91086957,1.0605,-23.861,0.39621739,0.45482608,0.08539131,0.14034782,-1.0767826,3.29135,-0.665206
69091,8.376447175,1.377789,1.042592,2.81894,4.53272,-0.399144,-0.238365,20.0119,20.239025,19.698175,19.802425,19.63205,19.55385,0.6341,-23.409,0.54085,-0.10425,0.170375,0.0782,-0.685175,2.97134,-0.296236
91794,8.629036215,1.379439,0.164168,2.5122,4.3599,-1.0919,-0.858443,19.5362,19.47697826,19.05206522,18.70180435,18.66265217,18.57236957,0.9406,-24.796,0.42491304,0.35026087,0.03915218,0.0902826,-0.90460869,2.6713,-0.93583
9837,8.766573666,1.380896,0.248875,1.15376,2.09851,-0.537482,-0.090325,21.0049,21.01230612,20.47408163,19.98891837,19.80497959,19.56953061,0.9916,-23.941,0.53822449,0.48516326,0.18393878,0.23544898,-1.44277551,1.4577,-0.204513
5871,7.513386235,1.39683,0.005967,2.20852,4.31563,-0.640919,-0.362903,20.8296,20.90470588,20.46408824,20.40661765,20.20270588,19.87147059,0.7358,-22.544,0.44061764,0.05747059,0.20391177,0.33123529,-1.03323529,2.42348,-0.439552
129563,8.645910074,1.413709,-1.045516,1.53558,2.30076,-0.630755,-0.37826,20.193,20.1933875,19.887525,19.7737125,19.867675,19.7158625,0.8663,-23.585,0.3058625,0.1138125,-0.0939625,0.1518125,-0.477525,1.78514,-0.451202
81005,9.238063682,1.424531,-1.069741,2.68827,4.48298,-0.815929,-0.600566,19.9042,19.81667568,19.49221622,19.31962162,19.21889189,18.99421622,2.1178,-26.109,0.32445946,0.1725946,0.10072973,0.22467567,-0.82245946,2.86073,-0.677646
114109,9.290640007,1.436354,-0.951852,1.67815,3.54632,-0.946541,-0.510347,20.4665,20.48378431,20.13188235,19.96582353,19.90041176,19.71856863,2.1113,-25.552,0.35190196,0.16605882,0.06541177,0.18184313,-0.76521568,1.90109,-0.580997
114499,8.550657005,1.44362,0.388093,1.60512,3.93988,-0.882237,-0.191693,20.982,21.06030612,20.49216327,20.10795918,19.98628571,19.93920408,1.3531,-24.606,0.56814285,0.38420409,0.12167347,0.04708163,-1.12110204,1.67233,-0.192018
120082,8.880560097,1.443696,-0.403879,2.03637,3.53343,-0.823591,-0.595779,19.6047,19.60992857,19.57490476,19.58854762,19.29709524,19.32445238,1.7298,-25.798,0.03502381,-0.01364286,0.29145238,-0.02735714,-0.28547619,2.25317,-0.666225
27945,9.200238807,1.454388,-0.576538,2.5529,4.38445,-0.793885,-0.634892,19.3864,19.3502,19.14358182,19.09612727,18.84265455,18.87889091,1.624,-26.165,0.20661818,0.04745455,0.25347272,-0.03623636,-0.47130909,2.67629,-0.682558
56423,8.01530583,1.473827,-1.021585,2.08203,4.17726,-0.695166,-0.388048,20.4514,20.36128846,19.98028846,19.94203846,19.75888462,19.73525,0.632,-22.817,0.381,0.03825,0.18315384,0.02363462,-0.62603846,2.24025,-0.432457
