,Unnamed: 0,SDSS_Name,ra_DR7,dec_DR7,M,ERR,ID,ra_S82,dec_S82,z
8405,8404,232355.04-001507.4,350.9793395996094,-0.2520599961280823,8.11493692354099,0.08008354042116997,345581,350.97934,-0.252056,0.3997
104,104,000500.84+010303.3,1.253512978553772,1.0509439706802368,9.071323418335806,0.18012645207797834,83436,1.253511,1.050947,1.6292
6669,6668,214854.63+010107.2,327.2276611328125,1.0186729431152344,8.740124885182915,0.15793613422517444,1968059,327.227661,1.018673,0.8203
1656,1656,011411.77+001119.3,18.54905891418457,0.18870599567890167,8.951926928471346,0.04726865882916916,711319,18.549057,0.188708,1.5287
6193,6192,210320.11+004444.2,315.8338317871094,0.7456369996070862,9.844757380986074,0.13167960622334124,2814199,315.833832,0.745636,1.5841
1533,1533,010737.01-001911.6,16.904212951660153,-0.31990501284599304,8.252770086510596,0.07466359418836284,674000,16.904208999999998,-0.319902,0.7377
1954,1954,012728.49-002038.0,21.868715286254886,-0.3438970148563385,8.984231158287162,0.2720948651379748,966935,21.868708,-0.343891,1.267
8186,8185,231228.71-001032.8,348.1196594238281,-0.17578700184822085,8.727542869708419,0.0901372526842555,459132,348.119659,-0.175788,2.1755
5074,5074,032657.78+000224.8,51.740760803222656,0.04023599997162819,9.05436413287554,0.1861582946014796,3811540,51.74075300000001,0.040233,1.731
3527,3527,022649.54-001923.0,36.706443786621094,-0.3230609893798828,7.871594274269617,0.27212542009877044,2077181,36.70644,-0.32305900000000004,2.245
4039,4039,024534.07+010813.7,41.39197540283203,1.13715398311615,10.00462678346009,0.0990874216069986,2519208,41.391964,1.137157,1.5374
1544,1544,010813.08+000256.9,17.054515838623047,0.04915300011634827,8.277851017246054,0.1673559954792711,682144,17.054512,0.049158,0.9025
2232,2232,013837.28+002818.5,24.655372619628906,0.4718180000782013,9.101705727069083,0.10716717172830448,984549,24.655355,0.471822,1.3481
8184,8183,231222.36-010924.8,348.0931701660156,-1.1569069623947144,8.632839968417818,0.34406420279194555,473566,348.0931700000001,-1.156895,1.4309
3422,3422,022350.32+011433.2,35.95967483520508,1.2425589561462402,8.450173791121955,0.5141579901226873,2020108,35.959663,1.242573,1.801
4375,4375,025819.32-000806.3,44.580528259277344,-0.13508999347686768,8.914019242780672,0.11792925551457842,2568071,44.580524,-0.13508699999999998,2.1097
971,971,004305.92-004637.6,10.774676322937012,-0.7771300077438354,8.275102247600701,0.07634759782672508,145336,10.774669,-0.777129,0.8482
214,214,001010.03+005126.6,2.5418028831481934,0.8574010133743286,7.797510058412003,0.5422416868606047,39631,2.541802,0.857401,0.387
5491,5491,034127.21-010718.7,55.36340713500977,-1.121878981590271,8.846120898279443,0.3254327778386981,4945716,55.36340300000001,-1.1218780000000002,2.174
4535,4535,030422.45+010518.3,46.09357452392578,1.088420033454895,8.469085508532451,0.15094858496575733,3130851,46.093571,1.088427,1.4434
7971,7970,230015.18+010520.0,345.0632629394531,1.0889129638671875,8.914500739223792,0.1036547212092343,417694,345.063263,1.088915,1.6446
8843,8842,234252.36-003915.2,355.71820068359375,-0.6542379856109619,8.375507921987243,0.08787618365024764,3943941,355.718201,-0.6542359999999999,0.4041
1937,1937,012650.71+000933.3,21.71131134033203,0.1592559963464737,9.199471406200272,0.0962878414335008,959383,21.711306,0.15926500000000002,3.4293
862,862,003825.93+011519.7,9.608080863952637,1.2554969787597656,9.181897269869713,0.15178206716388187,4101832,9.608078,1.255498,1.601
3,3,000012.25-003220.5,0.051079001277685165,-0.5390470027923584,8.59142526568717,0.13923486229088022,113067,0.051076,-0.539049,1.4365
8332,8331,232030.97-004039.2,350.1290588378906,-0.6775709986686707,9.388380628428175,0.12765859003857988,292959,350.129059,-0.677571,1.7221
8295,8294,231818.46-001103.0,349.5769348144531,-0.18419399857521052,8.9779560475103,0.16174781559827786,502161,349.576935,-0.184194,2.2482
5333,5333,033636.11-001351.6,54.15047836303711,-0.2310149967670441,9.086337995760307,0.07988688357940044,3797999,54.150467000000006,-0.23101,1.5103
7478,7477,222741.02-010402.0,336.9209289550781,-1.067234992980957,9.179673827416687,0.3422205971178686,1194845,336.920898,-1.067222,3.8225
